age,income,score,category,region,target
39.0,45655.0,39.4,A,East,0
45.0,59107.0,161.29,C,South,0
37.0,46988.0,-74.35,A,West,0
51.0,79484.0,156.25,A,North,1
45.0,51449.0,237.45,B,North,0
33.0,40925.0,-189.83,B,South,0
,,68.71,,South,1
43.0,64760.0,37.12,C,South,1
45.0,75982.0,203.45,A,East,1
49.0,88334.0,115.88,A,East,1
41.0,92464.0,-125.58,A,North,1
44.0,81692.0,49.02,B,South,1
46.0,84792.0,236.24,A,South,1
43.0,82686.0,4.8,A,East,1
42.0,82675.0,-40.76,A,South,1
43.0,83549.0,-56.66,C,West,1
45.0,66750.0,236.52,C,South,1
48.0,78565.0,92.77,B,South,1
44.0,86083.0,39.66,A,South,1
48.0,72699.0,112.75,A,South,1
32.0,34660.0,-123.09,B,South,0
45.0,54725.0,172.48,A,North,0
42.0,79133.0,-18.62,A,North,1
37.0,40056.0,14.83,C,North,0
44.0,105652.0,94.26,C,South,1
49.0,78785.0,146.05,A,East,1
45.0,80134.0,117.14,A,North,1
49.0,79760.0,137.19,C,North,1
33.0,20000.0,66.91,B,North,0
44.0,86167.0,30.24,B,West,1
47.0,88193.0,53.67,C,North,1
41.0,73208.0,-41.6,C,North,1
44.0,63708.0,87.21,B,West,0
43.0,67283.0,1.78,C,East,0
37.0,22155.0,154.18,A,West,0
43.0,72159.0,26.57,C,North,1
45.0,65646.0,53.82,C,South,0
35.0,29714.0,50.49,C,East,0
46.0,82713.0,217.59,C,North,1
44.0,64284.0,25.8,B,East,0
46.0,61284.0,175.81,C,West,0
,,-32.38,,East,1
45.0,80199.0,131.72,C,South,1
43.0,49780.0,152.96,A,East,0
50.0,87622.0,104.59,C,North,1
41.0,53743.0,2.92,B,West,0
43.0,48634.0,156.5,C,South,0
18.0,20000.0,-149.09,C,North,0
43.0,50892.0,151.9,C,East,0
,,285.47,,North,1
44.0,68274.0,41.28,C,North,1
55.0,110967.0,184.04,C,West,1
50.0,69592.0,240.37,A,East,0
47.0,68245.0,80.88,B,West,1
37.0,48710.0,-102.29,C,West,0
42.0,86623.0,19.73,B,West,1
35.0,37120.0,-6.36,C,South,0
44.0,32749.0,338.96,A,North,0
43.0,85336.0,11.84,A,East,1
48.0,78963.0,95.21,C,West,1
44.0,75257.0,24.45,C,South,1
29.0,24841.0,-157.12,B,South,0
46.0,83641.0,73.22,C,North,1
44.0,74864.0,92.89,A,North,1
51.0,85873.0,133.75,A,North,1
37.0,37077.0,31.94,C,West,0
29.0,32021.0,-260.92,A,South,0
44.0,78856.0,43.99,C,North,1
47.0,87924.0,240.71,A,East,1
47.0,59667.0,118.04,C,East,1
47.0,67442.0,78.23,C,North,1
44.0,72549.0,59.85,B,East,1
48.0,71665.0,107.08,B,South,0
43.0,81178.0,-23.06,A,West,1
28.0,23348.0,-221.97,C,West,0
37.0,43543.0,15.84,B,West,0
50.0,85486.0,119.03,A,North,1
